family,scientificNameWithoutAuthorship,scientificNameAuthorship,assessment,category,criteria,assessor,evaluator,rationale
MALPIGHIACEAE,"Janusia christianeae",W.R.Anderson,comments,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",Raquel,"Luiz Santos","A espécie é endêmica do estado da Bahia (Sebastiani, 2013), nas proximidades dos municípios de Barreiras (Anderson, 1987) e Cristópolis (CNCFlora, 2013). Arbusto escandente, é encontrado em áreas de Cerrado e Caatinga (Anderson 1987; Sebastiani 2010; 2013), em altitudes de 450 m a 800 m (Sebastiani 2010). É conhecida somente por coletas realizadas até meados de 1990, não tendo sido registrada recentemente (CNCFlora, 2013). Apresenta EOO de 518 km² e AOO de 8 km² e está sujeita a apenas duas situações de ameaça, considerando os municípios de ocorrência. O município de Barreiras, no noroeste da Bahia, sofreu grandes transformações em sua paisagem nas últimas três décadas, sobretudo devido à expansão da cultura da soja. Em dez anos, entre 1990 e 2000, essa cultura cresceu 584,26% no Oeste da Bahia, sendo a região de Barreiras responsável por 100% da produção do estado (IBGE, 2002). Essa evolução representou 73,1% da produção do Nordeste e 4,6% do país no ano de 2000 (IBGE, 2002). Estima-se que, se em 1979 a agricultura ocupava 5,98% da área do alto das chapadas, em 2006 passou a ocupar 82,26% da mesma região (Costa et al., 2009). Assim, a indústria agrícola representa uma ameaça à espécie, implicando declínio contínuo da EOO, AOO, da qualidade do hábitat e do número de subpopulações. Considerando que a espécie ocorre em uma das áreas mais degradadas do sertão baiano, apresenta poucos e antigos registros de ocorrência e não está protegida em Unidade de Conservação, recomendam-se investimentos em expedições de campo para a busca de novos registros e ampliação do conhecimento sobre as subpopulações, sua biologia e distribuição, bem como em planos de ação necessários a sua conservação na natureza."
MALPIGHIACEAE,"Mascagnia aptera",W.R.Anderson,comments,CR,"B2ab(i,ii,iii,iv)",Raquel,"Luiz Santos","A espécie é endêmica do estado do Mato Grosso (Mamede, 2013), com distribuição restrita à região da Chapada dos Guimarães (Anderson, 1980; Anderson & Davis, 2005), conhecida pelo material-tipo datado de 1973, no município de Cuiabá (CNCFlora, 2013). Caracteriza-se como arbusto escandente, ocorrendo em Campos Rupestres sobre afloramentos de arenito associados ao Cerrado, em altitudes de 720 m (Anderson, 1980; Anderson & Davis, 2005). Desenvolve-se nas proximidades do Parque Nacional da Chapada dos Guimarães (PNCG), entretanto, a única população conhecida encontra-se em margem de estrada, fora dos limites da área protegida (CNCFlora, 2013). Apresenta AOO de 4 km² e está sujeita a apenas uma situação de ameaça considerando a pontualidade de ocorrência. Representam ameaças à espécie a ocupação humana associada ao uso direto da flora, aos pequenos desmatamentos e às construções irregulares (MMA/ICMBio, 2009), a presença de gado e o turismo desordenado no interior do Parque, gerando pisoteio excessivo e a abertura de novas trilhas e atalhos nas áreas mais fragilizadas de Veredas, Campos Úmidos e Cerrados Rupestre (MMA/ICMBio, 2009), o impacto de espécies invasoras como Pinus sp., Schinus therebenthifolius, Tithonia diversifolia, braquiária (Urochloa sp.), Melinis minutiflora, Syngonium angustatum e Leucaena leucocephala (MMA/ICMBio, 2009) e as queimadas não naturais na época seca, que alteram a estrutura e composição florística da vegetação de modo drástico (Klink et al., 2002). Essas ameaças incidentes implicam em declínio contínuo da EOO, AOO e qualidade do hábitat e do número de subpopulações. Considerando que arbustos escandentes são um grupo pouco representado nas coletas botânicas, são necessários investimentos para a busca de novos registros e ampliação do conhecimento sobre a espécie e sua distribuição. Além disso, visto que a espécie é conhecida por apenas uma subpopulação com base em registro da década de 1970, recomendam-se investimentos em planos de ação para sua conservação na natureza."
MALPIGHIACEAE,"Peixotoa anadenanthera",C.E.Anderson,comments,CR,"B2ab(i,ii,iii,iv)",Raquel,"Luiz Santos","Espécie arbustiva, endêmica do estado de Goiás (Mamede, 2013), exclusiva da Chapada dos Veadeiros, no município de Teresina de Goiás, é encontrada a cerca de 1.330 m de altitude (CNCFlora, 2013). Ocorre nos Campos Rupestres associados ao Cerrado sobre solo pedregoso (Anderson, 1982; Mamede, 2013). É conhecida apenas pela coleta-tipo de 1975 e por uma coleta na mesma localidade datada de 2000. Apesar de ocorrer na região da Chapada dos Veadeiros, não há nenhuma referência à presença dessa espécie dentro dos limites do Parque Nacional que protege os remanescentes de vegetação na região. Assim, recomenda-se investimentos direcionados à busca de novos registros e pesquisa para ampliação do conhecimento sobre a espécie."
MALPIGHIACEAE,"Peixotoa axillaris",C.E.Anderson,comments,CR,"B2ab(i,ii,iii,iv)",Raquel,"Luiz Santos","Espécie arbustiva, terrícola, com ocorrência exclusiva no estado de Goiás (Mamede, 2013), é conhecida somente pelo material-tipo datado de 1964 (CNCFlora, 2013). Ocorre na Serra do Caiapó, nas proximidades do município de Jataí, em áreas de Cerrado, entre 800 m e 1.000 m de altitude (Anderson, 1982; CNCFlora, 2013). Apresenta AOO de 4 km² e está sujeita a uma situação de ameaça considerando a pontualidade de ocorrência. A expansão da agricultura intensiva voltada à produção de grãos em grandes propriedades na Bacia do Rio Araguaia, frequentemente contrariando a legislação ambiental, sem proteção de reservas legais e faixa de área de proteção permanente (Castro, 2005) representa uma ameaça severa à espécie e implica declínio contínuo de EOO, AOO, da qualidade do hábitat e do número de subpopulações. Considerando que a espécie é encontrada dentro dos limites de Unidade de Conservação e apresenta registro de coleta antigo, recomendam-se investimentos em pesquisa, expedições de campo para a busca de novos registros, informações populacionais e sobre sua distribuição e biologia, bem como em ações necessárias a sua conservação na natureza."
MALPIGHIACEAE,"Peixotoa gardneri",C.E.Anderson,comments,DD,,Raquel,"Luiz Santos","A espécie apresenta ocorrência exclusiva no estado de Goiás (Mamede, 2013), sendo conhecida apenas pelo material-tipo, coletado na Serra da Mangabeira, nas proximidades do município de Divinópolis de Goiás, datado de 1839 (Anderson, 1982). Em vista da limitada informação sobre a espécie, sobre sua biologia, ecologia e distribuição geográfica, recomenda-se investimentos na busca de novos registros que possibilitem a avaliação do seu atual estado de conservação na natureza. "
MALPIGHIACEAE,"Peixotoa irwinii",C.E.Anderson,comments,CR,"B2ab(i,ii,iii,iv)",Raquel,"Luiz Santos","Espécie com ocorrência exclusiva no estado de Minas Gerais (Mamede, 2013), é conhecida apenas pelo material-tipo datado de 1970, coletado na Serra do Espinhaço na altura do Planalto do município de Diamantina (Anderson, 1982; CNCFlora, 2013). Caracteriza-se como subarbusto prostrado ou ereto, ocorrendo em Campos Rupestres associados ao Cerrado (Anderson, 1982; CNCFlora; Mamede, 2013). Apresenta AOO de 4 km² e está sujeita a apenas uma situação de ameaça considerando sua localidade de ocorrência. O aumento da frequência dos incêndios relacionados à atividade pecuária e a consequente introdução de gramíneas exóticas configuram uma ameaça de grande importância na região central do Espinhaço (Vasconcelos et al., 2008), implicando em declínio contínuo de EOO, AOO, da qualidade do hábitat e do número de subpopulações. Apesar da região de ocorrência da espécie ser bem amostrada em trabalhos botânicos, os subarbustos volúveis representam um grupo pouco coletado. Assim, recomendam-se investimentos na busca de novos registros objetivando a ampliação do conhecimento sobre a espécie e sua distribuição, bem como em ações necessárias a sua conservação na natureza, visto que a mesma não ocorre em área protegida nem é coletada há mais de 40 anos."
MALPIGHIACEAE,"Peixotoa octoflora",C.E.Anderson,comments,DD,,Raquel,"Luiz Santos","A espécie apresenta ocorrência exclusiva no estado do Mato Grosso (Mamede, 2013), sendo conhecida apenas pelo material-tipo, originário da Serra do Roncador (Anderson, 1982), nas proximidades do município de Água Boa e datado de 1966 (CNCFlora, 2013). Caracterizada como subarbusto terrestre, ocorre em área de Cerrado (Anderson, 1982). Considerando que a espécie ocorre em área pouco estudada e não é coletada há quase 50 anos, recomenda-se investimentos para a busca de novos registros e em pesquisa sobre sua biologia, ecologia e distribuição geográfica, para ampliação do conhecimento em relação ao seu atual estado de conservação. "
MALPIGHIACEAE,"Pterandra hatschbachii",W.R.Anderson,comments,VU,D2,Raquel,"Luiz Santos","A espécie ocorre no estado do Mato Grosso (Mamede, 2013) em localidades dos municípios de Alto Araguaia, Araguainha, Guaratinga e Alta Floresta e, no estado de Goiás, no município de Minaçu (CNCFlora, 2013). Caracteriza-se como subarbustos, ocorrendo em Campos Rupestres e campos arenosos pontilhados por afloramentos rochosos associados ao Cerrado (Anderson, 1997; Mamede, 2013). Apresenta ampla EOO (269.292 km²), porém, sua AOO estimada é de apenas 20 km² e está sujeita apenas a cinco situações de ameaças considerando as localidades de ocorrência. Visto que não é encontrada em área protegida e se trata de um grupo pouco representado nas coletas botânicas, recomendam-se investimentos para a busca de novos registros dentro de sua EOO, a fim de ampliar as informações sobre as ameaças incidentes nas localidades de ocorrência e sobre o estado de conservação atual das subpopulações."
MALPIGHIACEAE,"Pterandra viridiflora",C.E.Anderson,comments,DD,,Raquel,"Luiz Santos","Espécie arbustiva com ocorrência exclusiva no estado de Minas Gerais (Mamede, 2013), conhecida apenas pelo material-tipo, datado de 2001 e coletado no município de Berilo (Anderson, 2005). Ocorre em Cerrado na transição para Floresta Decidual (Anderson, 2005; Mamede, 2013), em área da Usina Hidrelétrica de Irapé (Anderson, 2005; CNCFlora, 2013). A espécie está sujeita a apenas uma situação de ameaça, em função da pontualidade de ocorrência. Considerando que esse é um grupo pouco representado em coletas botânicas e a espécie foi coletada e descrita recentemente, recomenda-se investimentos direcionados para a busca de novos registros com objetivo de ampliar o conhecimento sobre sua biologia, ecologia, distribuição e estado de conservação da população na localidade de ocorrência. "
MALPIGHIACEAE,"Stigmaphyllon jobertii",C.E.Anderson,comments,DD,,Raquel,"Luiz Santos","A especie é endêmica do Brasil, com ocorrência exclusiva no estado do Piaui (Mamede, 2013) e conhecida apenas pelo material-tipo, coletado no final do século 19 (Anderson, 1997). Caracterizada como trepadeira, ocorre dentro dos limites do Cerrado no estado (Anderson, 1997; Mamede, 2013). Considerando a limitada informação disponível sobre a espécie, recomenda-se investimentos em expedições de campo para a busca de novos registros e ampliação do conhecimento sobre sua distribuição. Assim, a espécie deve ser tratada como de interesse para a pesquisa, aumentando os esforços para avaliação do seu risco de extinção e para o planejamento de ações necessárias a sua conservação."
MELASTOMATACEAE,"Cambessedesia pityrophylla","(Mart. ex DC.) A.B.Martins",comments,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","Luiz Santos","Luiz Santos","Espécie de ocorrência restrita aos Campos da região sul da Cadeia do Espinhaço (Santos et tal., 2009) (EOO=1.355,38 km²; AOO=28 km²). Endêmica do estado de Minas Gerais, (Martins & Rodrigues, 2014) é encontrada nos municípios de Caeté (Serra da Piedade), Catas Altas (Serra do Caraça), Ouro Branco e Ouro Preto (Santos et al., 2009). Desenvolve-se sobre afloramentos rochosos, entre aproximadamente 1.400 m e 2.000 m de altitude (Santos et al., 2009; CNCFlora, 2013). Sujeita a menos de cinco situações de ameaça, encontra-se sob a influência das atividades de mineração desde tempos pretéritos (Santos, 2010), e também da agropecuária e da expansão da malha industrial nas suas localidades de ocorrência (Fernandes et al., 2005). Tais atividades afetam diretamente os ambientes onde a espécie habita, causando o contínuo declínio da EOO, AOO, e qualidade do hábitat. Por não estar protegida em Unidades de Conservação, sua população encontra-se vulnerável às ameaças incidentes e constantemente suscetível ao declínio do número de indivíduos em suas subpopulações."
MELASTOMATACEAE,"Cambessedesia salviifolia","(Cham.) A.B.Martins",comments,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","Luiz Santos","Luiz Santos","Endêmica do estado de Minas Gerais (Martins & Rodrigues, 2014), é encontrada na região da Serra do Cipó e Planalto da Diamantina (EOO=4.310,95 km²; AOO=84 km²), onde se desenvolve nos Campos Rupestres entre aproximadamente 650 m e 1.450 m de altitude (Santos et al., 2009). Há apenas uma subpopulação protegida por Unidade de Conservação, o Parque Estadual do Rio Preto (CNCFlora, 2013). A região de ocorrência da espécie sofre historicamente com a ameaça da atividade mineradora de ouro e diamantes (Giulietti et al., 1987; Fernandes et al., 2005). Incêndios de origem antrópica, seja para manejo agrícola ou formações de pastagens, também configura uma importante ameaça incidente (Fernandes et al., 2005; IBGE, 2013). Está sujeita ao declínio contínuo da EOO, AOO, qualidade do hábitat e de suas subpopulações, o que indica a necessidade de investimentos na contenção das potenciais ameaças, na implementação de novas áreas de proteção e na expansão das Unidades de Conservação já existentes."
MELASTOMATACEAE,"Cambessedesia semidecandra","A.St.-Hil. ex A.B.Martins",comments,VU,D2,"Luiz Santos","Luiz Santos","Endêmica da região da Serra do Cipó no estado de Minas Gerais (Santos et al., 2009). Desenvolve-se em Campos Rupestres, Campos Limpos e Mata de Galeria, sendo frequente em vegetação perturbada (CNCFlora, 2013; Martins & Rodrigues, 2014). Está sujeita a menos de cinco situações de ameaça em função de suas localidades de ocorrência. Apesar ocorrer no Parque Nacional da Serra do Cipó (CNCFlora, 2013), sofre constante ameaça devido ao aumento da frequência dos incêndios de origem antrópica, utilizados no manejo do solo para agricultura e implementação de pastagens (Ribeiro et al., 2005), além do ecoturismo, uma atividade intensa na região (Pinto et al., 2008). Medidas de controle e monitoramento das ameaças incidentes são necessárias a fim de evitar que a espécie figure em um grau de ameaça mais alarmante futuramente."
MELASTOMATACEAE,"Chaetostoma flavum","C.Koschnitzke & A.B.Martins",comments,VU,D2,"Luiz Santos","Luiz Santos","Endêmica do estado de Goiás, é encontrada nos municípios de Alto Paraíso de Goiás e Niquelândia (Koschnitzke & Martins, 2006). Está sujeita a duas situações de ameaça considerando seus municípios de ocorrência. Desenvolve-se em Campos Rupestres, formando densas e extensas subpopulações (Santos et al., 2009; CNCFlora, 2013). A agricultura e a pecuária são ameaças incidentes à espécie na região de distribuição (Souza & Felfili, 2006), assim como o aumento na frequência de incêndios de origem antrópica (Fiedler et al., 2006). No município de Niquelândia, particularmente, a mineração do níquel também configura uma ameaça de alto impacto (CNCFlora, 2013). Devido a sua restrita área de ocorrência e por não ocorrer em Unidades de Conservação, a espécie sofre o risco de tornar-se severamente ameaçada, em um futuro próximo, caso as ameaças não sejam cessadas ou revertidas."
MELASTOMATACEAE,"Chaetostoma inerme",Naudin,comments,CR,B1ab(iii)+2ab(iii),Raquel,"Luiz Santos","Endêmica do estado de Minas Gerais, é encontrada no município de Lima Duarte, nos Campos de Altitude da Serra do Ibitipoca (Santos et al., 2009). Apresenta EOO de 4,26 km², AOO de 8 km² e está sujeita a uma situação de ameaça considerando sua distribuição restrita e pontual. Apesar de ocorrer em Unidade de Conservação (Parque Estadual de Ibitipoca) (CNCFlora, 2013), está sob a influência direta do ecoturismo desenvolvido na região (Rodela, 1998), que se torna excessivo em determinadas épocas do ano, contribuindo para o declínio contínuo da qualidade do hábitat da espécie. A manutenção das subpopulações com o controle das ameaças incidentes se faz necessária e emergencial, a fim de reverter seu estado de conservação na natureza."
MELASTOMATACEAE,"Chaetostoma selagineum","(Naudin) C.Koschnitzke & A.B.Martins",comments,LC,,Raquel,"Luiz Santos","A espécie caracteriza-se por subarbustos eretos e cespitosos (Koschnitzke & Martins, 2006). Endêmicos do estado de Goiás, onde ocorrem na Serra dos Cristais, no município de Cristalina (Santos et al., 2009). Ainda, apresenta um registro no estado de Minas Gerais, no município de João Pinheiro (CNCFlora, 2013). Ocorre em vegetação de Cerrado, associada à formações campestres como Campo Limpo sobre solo arenoso úmido, Campo sujo, áreas de Cerrado com buritizal, em Mata Ciliar, áreas perturbadas por extração de cristais e em brejos (Koschnitzke & Martins, 2006; Santos et al., 2009). A espécie apresenta ampla EOO (43.236 km²), e ocorre em áreas protegidas, na RPPN Linda Serra dos Topázios e no Parque Estadual da Serra dos Pirineus, ambas no estado de Goiás."
MELASTOMATACEAE,"Chaetostoma stenocladon","(Naudin) C.Koschnitzke & A.B.Martins",comments,NT,,Raquel,"Luiz Santos","Espécie caracteriza-se por subarbustos eretos e cespitosos, com ocorrência no Distrito Federal, nas localidades da Chapada da Contagem e Parque Nacional de Brasília e, no estado de Goiás, na região da Serra dos Pireneus, nos municípios de Cristalina, Corumbá de Goiás, Pirenópolis, Cocalzinho de Goiás e no Santuário Morro do Cabeludo (Koschnitzke & Martins, 2006; Santos et al., 2009; CNCFlora, 2013). Ocorre em formações campestres associadas a vegetação de Cerrado, como Campos Cerrados e Campos Rupestres, em altitudes de 1.200 m aproximadamente (Santos et al., 2009). Apesar de apresentar EOO restrito (6.555 km²), a espécie ocorre em áreas protegidas (Parque Estadual dos Pirineus e Parque Nacional de Brasília), o que garante a manutenção dessas subpopulações (CNCFlora, 2013). A área de distribuição da espécie encontra-se sob a ameaça da expansão urbana e implementação de atividades agropecuárias, que caso não sejam controladas ou revertidas poderão representar potenciais ameaças a manutenção da espécie na natureza."
MELASTOMATACEAE,"Comolia edmundoi",Brade,comments,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",Raquel,"Luiz Santos","Endêmica do estado de Minas Gerais (Baumgratz, 2014), restrita à Serra do Espinhaço, no município de Diamantina e em seu entorno, a espécie foi coletada em altitudes de 790 m a 1.200 m (Santos et al., 2009). Ocorre em hábitats específicos de Florestas de Galeria e próximos a cursos d’água em áreas com vegetação relacionada ao Cerrado (CNCFlora, 2013; Martins & Rodrigues, 2014). Apresenta pequena AOO (28 km²), e está sujeita a menos de cinco situações de ameaça considerando suas localidades de ocorrência. Atividades de agricultura e mineração, consideradas bases da economia do município de Diamantina, são ameaças à biodiversidade da região (Giulietti et al., 1987; Fernandes et al., 2005), implicando altos índices de degradação ambiental e, portanto, declínio contínuo da EOO, AOO, qualidade do hábitat e de subpopulações. Apesar de apresentar EOO maior que o limite de 5.000 km², a espécie não ocorre em área protegida e apresenta especificidade de hábitat em áreas atualmente fragilizadas, devido à redução de restrição de uso nas áreas de proteção permanente (APP) ocasionada pela recente mudança do Código Florestal Brasileiro (Lei n° 12.651/2012)."
MELASTOMATACEAE,"Lavoisiera adamantium","Barreto ex Pedersoli",comments,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",Raquel,"Luiz Santos","Endêmica do estado de Minas Gerais, a espécie apresenta distribuição restrita ao município de Diamantina (Martins & Rodrigues, 2014), em altitudes de aproximadamente 1.400 m (CNCFlora, 2013). Ocorre em vegetação de Cerrado associada a fitofisionomias de Campos Rupestres, tendo sido considerada nos primeiros registros de ocorrência como muito frequente em áreas secas e sobre rochas (Santos et al., 2009). Apresenta EOO de aproximadamente 910 km², AOO estimada em 20 km² e está sujeita a quatro situações de ameaça considerando suas localidades de ocorrência. As atividades de mineração, desde tempos pretéritos, e a agricultura, atualmente em expansão, representam ameaças para a espécie na região (Giulietti et al., 1987; Fernandes et al., 2005). Os altos níveis de degradação ambiental causados por essas atividades implicam o declínio contínuo de EOO, AOO, qualidade do hábitat e de situações de ameaça. Tendo em vista que a espécie apresenta poucos registros de coleta recentes e não ocorre em área protegida, são necessários investimentos para a coleta de novos registros e informações sobre o seu real estado de conservação, assim como para o planejamento e a implementação de ações necessárias a sua conservação."
MELASTOMATACEAE,"Lavoisiera angustifolia",Cogn.,comments,CR,"B2ab(i,ii,iii,iv)",Raquel,"Luiz Santos","Endêmica do estado de Minas Gerais, a espécie é restrita à região da Cadeia do Espinhaço, com ocorrências no município de Caeté e Santana do Riacho na Serra do Cipó (Santos et al., 2009; Martins & Rodrigues, 2014). Associada a vegetação de Cerrado, ocorre em fitofisionomia de Campos Rupestres (Santos et al., 2009). Apresenta AOO estimada em 8 km², e está sujeita a duas situações de ameaça considerando seus municípios de ocorrência. Atividades econômicas do passado como a mineração e outras atualmente em expansão, como a industrial e a turística, são consideradas ameaças para a área de distribuição da espécie (Pinto et al., 2008; IBGE, 2013). Somam-se a essas ameaças seus impactos indiretos, como o aumento da frequência de incêndios associado ao acúmulo de biomassa de gramíneas invasoras (Ribeiro et al., 2005). Tais ameaças resultam em declínio contínuo de EOO, AOO, qualidade do hábitat e de situações de ameaça. Tendo em vista que a espécie não ocorre em área protegida, e a data da última coleta conhecida ultrapassa 70 anos, são necessários investimentos de recursos para aumentar os esforços de campo na busca de novos registros, com a finalidade de confirmar o seu real estado de conservação, bem como para o planejamento e a implementação de ações necessárias a sua manutenção na natureza."
MELASTOMATACEAE,"Lavoisiera bradeana",Barreto,comments,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",Raquel,"Luiz Santos","A espécie é endêmica do estado de Minas Gerais, restrita ao Planalto de Diamantina, com ocorrência apenas nos municípios de Diamantina e Serro, em altitudes aproximadas de 1.200 m (Santos et al., 2009; Martins & Rodrigues, 2014). Ocorre em fitofisionomias de Campos Rupestres associadas à vegetação de Cerrado, onde se desenvolve em campos úmidos sobre afloramentos rochosos e solo arenoso, geralmente junto com outras espécies do gênero como L. adamantium, L. chamaepitys, L. imbricata, L. mucorifera e L. rigida (Santos et al., 2009; CNCFlora, 2013). Apresenta EOO de 3.085, 87 km², AOO de 36 km² e está sujeita a cinco situações de ameaça considerando as localidades de ocorrência. Mineração e agricultura (Giulietti et al., 1987; Fernandes et al., 2005; IBGE, 2013) são ameaças à espécie, do passado e do presente, de forma que o atual processo de degradação dos ecossistemas na região implica declínio contínuo da EOO, AOO, qualidade do hábitat e de subpopulações. Tendo em vista que a espécie apresenta apenas um registro em área protegida (Parque Estadual de Biribiri), são necessários esforços para a busca de subpopulações. Medidas de controle e monitoramento das ameaças incidentes são emergenciais, bem como a elaboração de um plano de ação voltado a sua conservação e manutenção na natureza."
MELASTOMATACEAE,"Lavoisiera caryophyllea","A.St.-Hil. ex Naudin",comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",Raquel,"Luiz Santos","A espécie é endêmica do estado de Minas Gerais, restrita à Serra do Cipó, com ocorrência nos municípios de Jaboticatubas e Santana do Riacho (Santos et al., 2009; Martins & Rodrigues, 2014). É considerada heliófila, saxícola e localmente frequente em formações campestres associadas ao Cerrado como Campo Rupestre com campo limpo adjacente, campos arenosos úmidos, beira de riachos e em terrenos encharcados, sendo encontrada entre 1.100 m e 1.380 m de altitude (Santos et al., 2009; CNCFlora, 2013). Apresenta EOO de 211 km², AOO de 36 km² e está sujeita a menos de cinco situações de ameaça considerando a proximidade dos registros nas localidades de ocorrência. São ameaças que implicam declínio contínuo da EOO, AOO e da qualidade do hábitat na região da Serra do Cipó: a pecuária, o aumento da frequência de incêndios associados à invasão por capim braquiária (Urochloa decumbens) e o turismo realizado de maneira desordenada e sem fiscalização, caracterizando-se como atividade conflitante com a conservação na Unidade e no entorno (Ribeiro et al., 2005; MMA/ICMBio, 2009). É valido considerar que a alta frequência da espécie localmente, porém restrita à Serra do Cipó em áreas de campos úmidos, deve estar associada à especificidade de hábitat. Portanto, visto que a espécie tem apenas uma ocorrência em área protegida (Parque Nacional da Serra do Cipó) e os registros datam predominantemente da década de 1970, havendo apenas um registro mais recente de 2005, são necessários esforços e investimentos para a busca de novos registros e em pesquisas sobre as subpopulações na área, de forma a confirmar seu real estado de conservação. Além disso, é importante alertar para as possibilidades de uma rápida transformação dos hábitats potenciais dessa espécie, considerando as recentes mudanças no Código Florestal Brasileiro (Lei 16.651/2012), que flexibilizam a extensão da faixa de proteção de áreas de proteção permanente (APP) nas Matas ciliares e áreas alagadas."
MELASTOMATACEAE,"Lavoisiera firmula","Mart. & Schrank ex DC.",comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",Raquel,"Luiz Santos","Espécie é endêmica do estado de Minas Gerais, restrita à Serra do Espinhaço, com ocorrência em localidades da Serra do Cipó, no município de Santana do Riacho e, na Serra da Cabeça de Boi, no município de Itambé do Mato Dentro (Santos et al., 2009; Martins & Rodrigues, 2014). Ocorre em Cerrado, em fitofisionomia de Campos Rupestres sobre solo arenoso e pedregoso, a aproximadamente 1.260 m de altitude (CNCFlora, 2013; Martins & Rodrigues, 2014). Apresenta EOO de 162 km², AOO de 16 km² e está sujeita a duas situações de ameaça considerando a proximidade das localidades de ocorrência em sua área de distribuição. Atualmente, o turismo se consolidou como uma importante base econômica na região, porém atividades em trilhas com uso de veículos sem fiscalização e controle representam uma ameaça à espécie e aos seus hábitats (Ribeiro et al., 2005; Pinto et al., 2008). Ademais, o aumento da frequência de incêndios na região da Serra do Cipó associado à invasão por capim braquiária (Urochloa decumbens e Urochloa brizantha), resultam no declínio contínuo da qualidade do hábitat, EOO e AOO. Tendo em vista que a espécie apresenta poucas coletas datadas além do material-tipo de 1896, sendo apenas uma delas mais recente, de 2005, não incluindo registro em área protegida, são necessários investimentos em recursos e pesquisa na busca de novos registros, bem como em planos de ação necessários a sua conservação."
MELASTOMATACEAE,"Lavoisiera harleyi",Wurdack,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",Raquel,"Luiz Santos","Espécie, endêmica do estado da Bahia, é restrita à porção sul da Chapada Diamantina, em localidades da Serra do Barbado, nos municípios de Abaíra, Pico das Almas e Rio de Contas (Santos et al., 2009; Martins & Rodrigues, 2014). Ocorre no Cerrado em fitofisionomias de Campos Rupestres, em floresta secundária, em conglomerados metamórficos de arenito e em afloramentos de quartzito com vegetação arbustiva associada a áreas de brejo, sendo encontrada a partir de 1.500 m de altitude (Santos et al., 2009; CNCFlora, 2013). Possui EOO de 642,09 km², AOO de 40 Km² e está sujeita a duas situações de ameaça considerando as localidades de ocorrência no Parque Nacional da Chapada Diamantina (PNCD) e no Pico do Barbado. No passado e ainda atualmente, o garimpo é considerado uma ameaça direta à espécie, inclusive na área protegida do PNCD, visto que a espécie se desenvolve em solos minerados (MMA/ICMBio, 2007). Além disso, são também ameaças para espécie, o turismo como atividade econômica importante para a Chapada Diamantina e o aumento da frequência de incêndios predominantemente de origem antrópica, com motivações variadas. O uso do fogo está ligado a quase todas as atividades tradicionais da região, econômicas ou não, inclusive no interior da área do PNCD. Assim, associadas, todas essas ameaças implicam o declínio contínuo da EOO, AOO e qualidade do hábitat. Tendo em vista que essa espécie arbustiva ocorre em Unidade de Conservação, porém apresenta registros de ocorrência datados apenas das décadas de 1970 e 1990, recomenda-se o aumento dos esforços de coleta em toda área da Chapada Diamantina, com o fim de confirmar sua distribuição e, portanto, seu real estado de conservação na área. Além disso, são necessários investimentos para planejamento e implementação de ações necessárias a sua conservação."
MELASTOMATACEAE,"Lavoisiera humilis",Naudin,comments,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",Raquel,"Luiz Santos","Espécie endêmica do estado de Minas Gerais, restrita à Cadeia do Espinhaço, no Planalto da Diamantina, com registros no município de Diamantina nas localidades de Conselheiro da Mata, Serra dos Cristais e Arranca Rabo e no município de Gouveia (Santos et al., 2009; CNCFlora, 2013; Martins & Rodrigues, 2014). Ocorre a aproximadamente 1.400 m de altitude, em fitofisionomias de Campos Rupestres, brejos e campos arenosos associados à vegetação de Cerrado, ao longo da rodovia MG-220 para Conselheiro da Mata, sendo frequente em locais úmidos juntamente com outras espécies do gênero como L. mucorifera, L. crassifolia, L. chamaepitys e L. imbricata (Santos et al., 2009; CNCFlora, 2013). Possui EOO de 2.716 km², AOO de 24 km² e está sujeita a menos de cinco situações de ameaça considerando suas localidades nos municípios de ocorrência. Os altos índices de degradação causados pelas atividades econômicas de agricultura e mineração desenvolvidas na região são ameaças para a espécie, e implicam declínio contínuo da EOO, AOO, qualidade do hábitat e de subpopulações (Giulietti et al., 1987; Fernandes et al., 2005; IBGE, 2013). Como subarbusto, provavelmente a espécie apresenta um limitado esforço de coleta, havendo um registro da década de 1930 e os demais mais recentes, do período de 2001 a 2012. Porém, considerando a especificidade de hábitat e sua ausência em áreas protegidas, são necessários investimentos para a busca de novos registros, como forma de confirmar seu real estado de conservação e para o estabelecimento de ações necessárias a sua conservação."
